precision,recall,f1-score,support,training_batch,model,img_size,windows_time
0.1179234391757429,0.1590142138638642,0.1276697202971753,843.0,B1B2,Logistic Regression,8,20_seconds
0.102873703411111,0.1564156307424758,0.1198750589698842,843.0,B1B2,SGD Classifier,8,20_seconds
0.1250459596871612,0.1301216015633447,0.1146618216189103,843.0,B1B2,Decision Tree,8,20_seconds
0.1863306624748122,0.2137758373976351,0.1717566795463154,843.0,B1B2,Random Forest,8,20_seconds
0.1130478489699749,0.1650049889080721,0.1159546251316017,843.0,B1B2,Gradient Boosting,8,20_seconds
0.0553905159168317,0.1276157052019121,0.0695405281875282,843.0,B1B2,AdaBoost,8,20_seconds
0.102898642668609,0.1244075437326648,0.0902505647630206,843.0,B1B2,K-Nearest Neighbors,8,20_seconds
0.0846551011370209,0.1294095279472119,0.0925786268782675,843.0,B1B2,Support Vector Machine,8,20_seconds
0.1663452437064109,0.1140851193109012,0.1109673723638472,843.0,B1B2,Gaussian Naive Bayes,8,20_seconds
0.1186348646657637,0.1397531497142778,0.1227461421687715,843.0,B1B2,Multi-layer Perceptron,8,20_seconds
0.1213541797637907,0.130991121026837,0.121378360814947,820.0,B1B3,Logistic Regression,8,20_seconds
0.1185869038407524,0.1229132258231215,0.1158512996591486,820.0,B1B3,SGD Classifier,8,20_seconds
0.1177048405955101,0.116896752825963,0.1118556976031705,820.0,B1B3,Decision Tree,8,20_seconds
0.1292052594943225,0.1774819986505651,0.1271619266724946,820.0,B1B3,Random Forest,8,20_seconds
0.1165446250863183,0.144353526809729,0.1120045594273699,820.0,B1B3,Gradient Boosting,8,20_seconds
0.0661068213079904,0.1107247627264883,0.0492801472747173,820.0,B1B3,AdaBoost,8,20_seconds
0.1189359428518456,0.1284148674223768,0.1066586043162363,820.0,B1B3,K-Nearest Neighbors,8,20_seconds
0.1234155849679063,0.1708936570379904,0.1336434201424052,820.0,B1B3,Support Vector Machine,8,20_seconds
0.1699146862265523,0.1442686176706671,0.110018021812739,820.0,B1B3,Gaussian Naive Bayes,8,20_seconds
0.11827725869946872,0.12492938128222746,0.11795851656254168,820.0,B1B3,Multi-layer Perceptron,8,20_seconds
