precision,recall,f1-score,support,training_batch,model,img_size,windows_time
0.1364293336584667,0.1403443054343232,0.1276345998286564,876.0,B1B2,Logistic Regression,8,10_seconds
0.1255620313088627,0.1196760959450792,0.1195150620844489,876.0,B1B2,SGD Classifier,8,10_seconds
0.1127547772991269,0.1228596213701067,0.1147837121975372,876.0,B1B2,Decision Tree,8,10_seconds
0.1421207347082642,0.1812289351499106,0.1511503209983492,876.0,B1B2,Random Forest,8,10_seconds
0.120637538605085,0.1371599109335839,0.1071903802672425,876.0,B1B2,Gradient Boosting,8,10_seconds
0.0682070643460052,0.1312172542928177,0.072240062294441,876.0,B1B2,AdaBoost,8,10_seconds
0.1180640341081558,0.1299816786723414,0.1021542184175693,876.0,B1B2,K-Nearest Neighbors,8,10_seconds
0.1040846063335752,0.1325876408203062,0.1033495671783237,876.0,B1B2,Support Vector Machine,8,10_seconds
0.1815823019898595,0.1176688982758392,0.0901914101764063,876.0,B1B2,Gaussian Naive Bayes,8,10_seconds
0.1278646604282859,0.1347473555567601,0.128204942544405,876.0,B1B2,Multi-layer Perceptron,8,10_seconds
0.1144694147006859,0.1236146793855937,0.1079880500360043,860.0,B1B3,Logistic Regression,8,10_seconds
0.1265679099651854,0.1190214681888599,0.1105908021978866,860.0,B1B3,SGD Classifier,8,10_seconds
0.0933773433013956,0.0954559533790765,0.0909120347196508,860.0,B1B3,Decision Tree,8,10_seconds
0.1449638630593298,0.1655726155594943,0.1304571563660639,860.0,B1B3,Random Forest,8,10_seconds
0.1094563639625989,0.1377009505445461,0.1106034914306031,860.0,B1B3,Gradient Boosting,8,10_seconds
0.0787914094338861,0.0893548497657895,0.0387850394119986,860.0,B1B3,AdaBoost,8,10_seconds
0.1177251572291756,0.1138077548681142,0.0997377704576425,860.0,B1B3,K-Nearest Neighbors,8,10_seconds
0.1427817739790936,0.1647633729352225,0.1317476285980612,860.0,B1B3,Support Vector Machine,8,10_seconds
0.2224456782385264,0.1145375010969429,0.0699128493843468,860.0,B1B3,Gaussian Naive Bayes,8,10_seconds
0.12081342658428046,0.12446148341652288,0.11865022377519198,860.0,B1B3,Multi-layer Perceptron,8,10_seconds
