precision,recall,f1-score,support,training_batch,model,img_size,windows_time
0.1297165998004962,0.1405584984559166,0.1234311899375031,843.0,B1B2,Logistic Regression,8,20_seconds
0.108577514051783,0.1244178028492694,0.1130594635506632,843.0,B1B2,SGD Classifier,8,20_seconds
0.15504406392142,0.1446668909254151,0.1362843010094668,843.0,B1B2,Decision Tree,8,20_seconds
0.1720925430860984,0.2027758134430754,0.1665147310398828,843.0,B1B2,Random Forest,8,20_seconds
0.1374211987430819,0.1626329246032197,0.1267434244646836,843.0,B1B2,Gradient Boosting,8,20_seconds
0.0807177658179327,0.1367459844900642,0.0815479787909407,843.0,B1B2,AdaBoost,8,20_seconds
0.1360703715558642,0.1263512504415901,0.0974334894873702,843.0,B1B2,K-Nearest Neighbors,8,20_seconds
0.1185888902680746,0.1422266352186638,0.1032655746626578,843.0,B1B2,Support Vector Machine,8,20_seconds
0.176438424932217,0.1227678861513409,0.1160974014572468,843.0,B1B2,Gaussian Naive Bayes,8,20_seconds
0.1219007452767814,0.1357895173727761,0.1196162126222233,843.0,B1B2,Multi-layer Perceptron,8,20_seconds
0.1244239991976361,0.132913284184324,0.1242323652881978,820.0,B1B3,Logistic Regression,8,20_seconds
0.1107882424663622,0.12605601627266,0.1109497495770334,820.0,B1B3,SGD Classifier,8,20_seconds
0.1197318796307168,0.1278450106435251,0.1199357775817017,820.0,B1B3,Decision Tree,8,20_seconds
0.1688794332138976,0.19727630227839,0.1436500037672874,820.0,B1B3,Random Forest,8,20_seconds
0.090947240777703,0.1333746673173439,0.1035874773066423,820.0,B1B3,Gradient Boosting,8,20_seconds
0.0732720318795723,0.1171421799623302,0.0588054786783955,820.0,B1B3,AdaBoost,8,20_seconds
0.1231199931840119,0.1180188529745502,0.1001060859613879,820.0,B1B3,K-Nearest Neighbors,8,20_seconds
0.1137832709624166,0.1600814693140435,0.1189190100650089,820.0,B1B3,Support Vector Machine,8,20_seconds
0.1789344176810187,0.1635167987219717,0.1024355354168429,820.0,B1B3,Gaussian Naive Bayes,8,20_seconds
0.09583354897293517,0.09734946591508233,0.09544071687406794,820.0,B1B3,Multi-layer Perceptron,8,20_seconds
