precision,recall,f1-score,support,training_batch,model,img_size,windows_time
0.1252516460993114,0.1381785338402968,0.1249161762032035,876.0,B1B2,Logistic Regression,8,10_seconds
0.1185373020345388,0.1234251330644141,0.1170469684856515,876.0,B1B2,SGD Classifier,8,10_seconds
0.114242865561528,0.1274521201172064,0.1193674995441342,876.0,B1B2,Decision Tree,8,10_seconds
0.154924707091122,0.1775246697133175,0.1454508026206777,876.0,B1B2,Random Forest,8,10_seconds
0.1255894000434627,0.1498858050601116,0.1207339193994492,876.0,B1B2,Gradient Boosting,8,10_seconds
0.0646552213796824,0.1094603569946035,0.0546412692445259,876.0,B1B2,AdaBoost,8,10_seconds
0.1159345277781524,0.1296385861680956,0.1024825506800117,876.0,B1B2,K-Nearest Neighbors,8,10_seconds
0.1032844468899751,0.1350131090868668,0.1051071296312831,876.0,B1B2,Support Vector Machine,8,10_seconds
0.2347524768032934,0.1012430625597836,0.0527318274594156,876.0,B1B2,Gaussian Naive Bayes,8,10_seconds
0.1027348184601623,0.1036297939939413,0.0988614838456849,876.0,B1B2,Multi-layer Perceptron,8,10_seconds
0.1390929871982743,0.1566720711067238,0.1419447685201814,860.0,B1B3,Logistic Regression,8,10_seconds
0.143433558252645,0.137006680378441,0.1320924092097205,860.0,B1B3,SGD Classifier,8,10_seconds
0.1139538109312728,0.1239114237673173,0.1135021604136806,860.0,B1B3,Decision Tree,8,10_seconds
0.141758627229169,0.1760044206162015,0.1396265010242497,860.0,B1B3,Random Forest,8,10_seconds
0.1194359943493588,0.15400257940057,0.1267628934147528,860.0,B1B3,Gradient Boosting,8,10_seconds
0.0867618058378118,0.1066764651121826,0.0471779787636878,860.0,B1B3,AdaBoost,8,10_seconds
0.1121805364440011,0.1149774572641495,0.1044701888148829,860.0,B1B3,K-Nearest Neighbors,8,10_seconds
0.1262273614903866,0.1611610274781919,0.1312419794814786,860.0,B1B3,Support Vector Machine,8,10_seconds
0.1109829564375019,0.0845201992806114,0.0478585169291012,860.0,B1B3,Gaussian Naive Bayes,8,10_seconds
0.12755515166481843,0.11703925208485323,0.11852341685192652,860.0,B1B3,Multi-layer Perceptron,8,10_seconds
