precision_macro_avg,recall_macro_avg,f1_score_macro_avg,support_macro_avg,training_batch,model,img_size,windows_time,accuracy,recall_weighted,precision_weighted,f1_score_weighted
0.0937282755731265,0.1320221541556674,0.1054146084528229,843.0,B1B2,Logistic Regression,8,20_seconds,0.1435349940688019,0.1435349940688019,0.1034812875756451,0.1165461135303287
0.1011423094814737,0.122988021773407,0.1063181135630902,843.0,B1B1B2,SGD Classifier,8,20_seconds,0.1376037959667853,0.1376037959667853,0.1158123817031406,0.1215029500634014
0.1147979309033117,0.1275777790068064,0.1172639120204253,843.0,B1B1B1B2,Decision Tree,8,20_seconds,0.1411625148279952,0.1411625148279952,0.1269921003596588,0.1301978737382038
0.15675690362176312,0.20487345706104146,0.1649828999682532,843.0,B1B1B1B1B2,Random Forest,8,20_seconds,0.2313167259786477,0.2313167259786477,0.17212265419443618,0.1853970179822669
