precision,recall,f1-score,support,training_batch,model,img_size,windows_time
0.1132137982397341,0.1594460069429933,0.1275348482637641,900.0,B1B2,Logistic Regression,8,5_seconds
0.1454777644974825,0.1596501353939777,0.1426545575979474,900.0,B1B2,SGD Classifier,8,5_seconds
0.1447979026848194,0.158280810956147,0.1458944538943012,900.0,B1B2,Decision Tree,8,5_seconds
0.1258510286355237,0.1641243729906507,0.1334872836199585,900.0,B1B2,Random Forest,8,5_seconds
0.1287243982186414,0.1630314537245028,0.1258050045277246,900.0,B1B2,Gradient Boosting,8,5_seconds
0.1303018603208383,0.1489370492705724,0.1004351670280321,900.0,B1B2,AdaBoost,8,5_seconds
0.0879927030380737,0.1108290415782898,0.0896440977805114,900.0,B1B2,K-Nearest Neighbors,8,5_seconds
0.0796861334340958,0.1244261630609576,0.0826764261375638,900.0,B1B2,Support Vector Machine,8,5_seconds
0.0170594010800196,0.0806464599846551,0.0235264915303675,900.0,B1B2,Gaussian Naive Bayes,8,5_seconds
0.137466544352371,0.1413274977785505,0.1306765217704889,900.0,B1B2,Multi-layer Perceptron,8,5_seconds
0.1248667736276913,0.1466325948073605,0.1236358423982853,875.0,B1B3,Logistic Regression,8,5_seconds
0.1111570295570263,0.1223459037669206,0.1084706978173861,875.0,B1B3,SGD Classifier,8,5_seconds
0.1122514774123974,0.1148412806611328,0.106498795072713,875.0,B1B3,Decision Tree,8,5_seconds
0.1375831580798526,0.1671111874243791,0.1331118827479643,875.0,B1B3,Random Forest,8,5_seconds
0.1141982304914757,0.1154355364831777,0.0921717353502882,875.0,B1B3,Gradient Boosting,8,5_seconds
0.0433038904447109,0.0917073925258285,0.0395318615622384,875.0,B1B3,AdaBoost,8,5_seconds
0.0944029652824119,0.1065879933979395,0.0930695244534669,875.0,B1B3,K-Nearest Neighbors,8,5_seconds
0.1193694948769606,0.1281542630322897,0.1111058330148244,875.0,B1B3,Support Vector Machine,8,5_seconds
0.009985437903058,0.0909090909090909,0.0179943767572633,875.0,B1B3,Gaussian Naive Bayes,8,5_seconds
0.11091333260077717,0.11017628472344895,0.10458641748824364,875.0,B1B3,Multi-layer Perceptron,8,5_seconds
